,voter_id,alternative_id,rate
0,229,230,5.0
1,229,1265,3.0
2,229,1558,5.0
3,229,2393,2.0
4,229,2098,4.0
5,229,1097,3.0
6,229,1575,3.0
7,229,1577,3.0
8,229,2289,4.0
9,229,2013,5.0
10,229,1008,5.0
11,229,2316,5.0
12,229,1496,4.0
13,229,1061,1.0
14,229,2,5.0
15,229,1050,1.0
16,229,1027,2.0
17,229,1528,5.0
18,229,1056,4.0
19,229,832,4.0
20,229,176,3.0
21,229,2426,2.0
22,229,932,4.0
23,229,1045,2.0
24,229,1230,4.0
25,229,1828,5.0
26,229,1210,4.0
27,229,2154,3.0
28,229,1560,5.0
29,229,1980,4.0
30,229,1639,4.0
31,229,1693,5.0
32,229,2403,1.0
33,229,1655,5.0
34,229,158,4.0
35,229,210,1.0
36,229,1314,5.0
37,230,230,4.0
38,230,1265,3.0
39,230,1558,3.0
40,230,2393,2.0
41,230,2098,4.0
42,230,1097,4.0
43,230,1575,3.0
44,230,1577,4.0
45,230,2289,5.0
46,230,2013,4.0
47,230,1008,5.0
48,230,2316,4.0
49,230,1496,3.0
50,230,1061,2.0
51,230,2,3.0
52,230,1050,2.0
53,230,1027,3.0
54,230,1528,4.0
55,230,1056,3.0
56,230,832,3.0
57,230,176,4.0
58,230,2426,2.0
59,230,932,3.0
60,230,1045,2.0
61,230,1230,3.0
62,230,1828,3.0
63,230,1210,3.0
64,230,2154,5.0
65,230,1560,4.0
66,230,1980,4.0
67,230,1639,4.0
68,230,1693,5.0
69,230,340,1.0
70,230,2403,1.0
71,230,1655,4.0
72,230,158,5.0
73,230,210,2.0
74,230,1314,4.0
75,231,230,5.0
76,231,1265,4.0
77,231,1558,4.0
78,231,2393,2.0
79,231,2098,3.0
80,231,1097,3.0
81,231,1575,4.0
82,231,1577,4.0
83,231,2289,4.0
84,231,2013,5.0
85,231,1008,4.0
86,231,2316,4.0
87,231,1496,2.0
88,231,1061,2.0
89,231,2,1.0
90,231,1050,1.0
91,231,1027,2.0
92,231,1528,4.0
93,231,1056,2.0
94,231,832,4.0
95,231,176,5.0
96,231,2426,1.0
97,231,932,4.0
98,231,1045,1.0
99,231,1230,3.0
100,231,1828,3.0
101,231,1210,4.0
102,231,2154,3.0
103,231,1560,4.0
104,231,1980,4.0
105,231,1639,4.0
106,231,1693,5.0
107,231,340,1.0
108,231,2403,2.0
109,231,1655,3.0
110,231,158,4.0
111,231,210,1.0
112,231,1314,4.0
113,229,0,2.5745810951705783
114,230,0,2.68914588392752
115,231,0,2.4687174175531403
116,229,1,3.777772101295812
117,230,1,3.8391647428330185
118,231,1,3.7332745750428513
119,229,3,2.6778825040684326
120,230,3,2.7219888225335986
121,231,3,2.597204717652806
122,229,4,2.907376309370381
123,230,4,2.9932978607511562
124,231,4,2.8062799510422374
